,aciklama,ilce,mahalle,fiyat,m2_brut,m2_net,oda_sayisi,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,kullanim_durumu,site_icerisinde,aidat,kimden,yaka
94,kevser emlaktan 1+1 bi̇ri̇nci̇ kat kombi̇li̇ eşyali dai̇re,Kadıköy,Hasanpaşa Mh.,5000.0,80.0,75.0,1+1,26-30 arası,1,5,Doğalgaz (Kombi),1,Var,Evet,Mülk Sahibi,Hayır,30.0,Emlak Ofisinden,Anadolu
95,kavacik merkez de 3+1 net 165m2 önü açik ferah dai̇re,Beykoz,Kavacık Mh.,10500.0,180.0,165.0,3+1,16-20 arası,4,8,Doğalgaz (Kombi),3,Var,Hayır,Boş,Hayır,100.0,Emlak Ofisinden,Anadolu
96,üsküdar beylerbeyi küplüce 'de kiralık giriş kat 2+1,Üsküdar,Küplüce Mh.,4500.0,85.0,75.0,2+1,26-30 arası,Giriş Katı,4,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,100.0,Emlak Ofisinden,Anadolu
97,i̇skeleye 5 dk yürüme mesafesi̇nde deni̇z manzarali 7 odali dublex,Üsküdar,Aziz Mahmut Hüdayi Mh.,15000.0,250.0,200.0,4+2,16-20 arası,2,2,Doğalgaz (Kombi),3,Var,Hayır,Boş,Hayır,50.0,Emlak Ofisinden,Anadolu
98,3+1 ki̇ralik dai̇re,Üsküdar,Çengelköy Mh.,7500.0,120.0,110.0,3+1,11-15 arası,Yüksek Giriş,5,Merkezi (Pay Ölçer),1,Yok,Evet,Boş,Evet,530.0,Emlak Ofisinden,Anadolu
99,si̇tede eşyali ve faturalar dahi̇l tek kiz öğrenci̇ i̇çi̇n konaklama,Beykoz,Kavacık Mh.,2750.0,30.0,30.0,3+1,26-30 arası,2,4,Yerden Isıtma,1,Yok,Evet,Boş,Evet,,Sahibinden,Anadolu
100,"sur yapi adapark suryapi ki̇ralik 3,5+1 151m2 güney balkonlu tek",Sancaktepe,Emek Mah.,10500.0,151.0,130.0,3.5+1,5-10 arası,2,5,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,1.0,Emlak Ofisinden,Anadolu
101,ataşehir atapark konutları güney cephe vestiyer +ankastre 2+1,Ataşehir,Atatürk Mh.,9000.0,115.0,85.0,2+1,4,15,30 ve üzeri,Merkezi (Pay Ölçer),1,Var,Hayır,Kiracılı,Evet,750.0,Emlak Ofisinden,Anadolu
102,sahibinden cadde üzeri,Pendik,Ahmet Yesevi Mah.,4250.0,95.0,83.0,2+1,26-30 arası,1,5,Doğalgaz (Kombi),1,Var,Hayır,Kiracılı,Hayır,,Sahibinden,Anadolu
103,hasanpaşa rasi̇mpaşa sokakta ki̇ralik 1+1,Kadıköy,Hasanpaşa Mh.,8250.0,65.0,55.0,1+1,26-30 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,50.0,Emlak Ofisinden,Anadolu
104,kartal dap yapı teras kule kiralık 1+1 deniz manzaralı rezidans,Kartal,Topselvi Mah.,7000.0,97.0,55.0,1+1,2,26,30 ve üzeri,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,1.05,Emlak Ofisinden,Anadolu
105,alya park si̇tesi̇ boş güncel ki̇ralik 135 m2 ki̇ralik 3+1 dai̇re,Ümraniye,Tatlısu Mh.,10000.0,135.0,110.0,3+1,5-10 arası,13,13,Doğalgaz (Kombi),2,Yok,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
106,kuzguncukta müstaki̇l eşyali ki̇ralik,Üsküdar,Kuzguncuk Mah.,8500.0,75.0,70.0,1+1,31 ve üzeri,Müstakil,1,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Anadolu
107,erkek öğrenci̇ye uygun eşyali apart odalar kavacik ana caddede,Beykoz,Kavacık Mh.,4500.0,270.0,250.0,6+1,11-15 arası,9,9,Doğalgaz (Kombi),3,Var,Evet,Boş,Hayır,,Emlak Ofisinden,Anadolu
108,nouvel maltepe ki̇ralik lüks si̇te i̇çeri̇si̇nde 3+1 sifir dai̇re,Maltepe,Yalı Mh.,11500.0,133.0,90.0,3+1,0,6,16,Merkezi (Pay Ölçer),2,Yok,Hayır,Boş,Evet,800.0,Emlak Ofisinden,Anadolu
109,maya'dan si̇te mahallesi̇nde arakat 3+1 ki̇ralik dai̇re,Ümraniye,Armağanevler Mh.,4750.0,110.0,105.0,3+1,5-10 arası,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,70.0,Emlak Ofisinden,Anadolu
110,"marmaray ve caddeye yürüme mesafesi̇nde, ki̇ralik 3+1 dai̇re",Kadıköy,Göztepe Mh.,12500.0,140.0,115.0,3+1,31 ve üzeri,10,10,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Hayır,450.0,Emlak Ofisinden,Anadolu
111,hakan yandik'dan dumankaya bati si̇tesi̇nde 2+1 ki̇ralik dai̇re,Tuzla,Aydınlı Mh.,3600.0,85.0,70.0,2+1,5-10 arası,2,7,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,450.0,Emlak Ofisinden,Anadolu
112,barbaros varyap meridian sitesi eşyalı 1+1 kiralık (342),Ataşehir,Barbaros Mah.,16990.0,60.0,50.0,1+1,5-10 arası,3,30 ve üzeri,Doğalgaz (Kombi),1,Yok,Evet,Kiracılı,Evet,1.028,Emlak Ofisinden,Anadolu
113,altunelden fenerbahçede 3+1 ameri̇kan mutfak eb.banyo 4 yillik,Kadıköy,Fenerbahçe Mh.,17500.0,135.0,100.0,3+1,4,4,8,Merkezi (Pay Ölçer),2,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
114,elit grand palas kiralık teraslı manzaralı 1+1 'flat4rent',Pendik,Yenişehir Mh.,4700.0,100.0,68.0,1+1,4,4,8,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,600.0,Emlak Ofisinden,Anadolu
115,cadde gm/dumankaya cadde 1+1 eşyali balkonlu lüx dai̇re,Pendik,Yenişehir Mh.,5800.0,55.0,43.0,1+1,5-10 arası,1,9,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Evet,671.0,Emlak Ofisinden,Anadolu
116,suadiye beymenin arkası bağdata 2 adım kısmi deniz mnazaralı 3+1,Kadıköy,Suadiye Mah.,19500.0,120.0,90.0,3+1,4,8,20,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
117,dönüşüm'den firsat! kullanişli eşyali 1+1 ki̇ralik dai̇re,Pendik,Velibaba Mah.,4500.0,68.0,55.0,1+1,5-10 arası,3,14,Merkezi (Pay Ölçer),1,Yok,Evet,Boş,Evet,,Emlak Ofisinden,Anadolu
118,kartal dap teras kule boş 1+1 daire,Kartal,Yalı Mh.,6000.0,86.0,54.0,1+1,1,20,30 ve üzeri,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,600.0,Emlak Ofisinden,Anadolu
119,altinşehi̇r şenel cd.si̇nde gi̇ri̇ş kat ki̇ralik 2+1 dai̇re,Ümraniye,Altınşehir Mh.,2700.0,75.0,65.0,2+1,21-25 arası,Giriş Katı,3,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
120,maltepe cevi̇zli̇ deni̇z manzarali sifir eşyali zero furniture 1+0,Kartal,Cevizli Mah.,6500.0,55.0,35.0,Stüdyo (1+0),3,14,27,Merkezi (Pay Ölçer),1,Yok,Evet,Boş,Evet,1.1,Emlak Ofisinden,Anadolu
121,stüdyo millenium 1+1 üst kat temi̇z eşyali ki̇ralik dai̇re,Tuzla,Tepeören Mh.,6250.0,55.0,45.0,1+1,11-15 arası,2,2,Doğalgaz (Kombi),1,Yok,Evet,Boş,Evet,685.0,Emlak Ofisinden,Anadolu
122,moda sınırında bahariye' ye ve yoğurtçu parkı arasında,Kadıköy,Osmanağa Mh.,20000.0,148.0,122.0,4+1,31 ve üzeri,3,5,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Hayır,80.0,Sahibinden,Anadolu
123,-aktaş-2+1_ultra_lux_mi̇mari̇_dekorlu_85m2_tamami_eşyali!!!,Maltepe,Zümrütevler Mh.,5750.0,95.0,85.0,2+1,5-10 arası,Yüksek Giriş,3,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,,Emlak Ofisinden,Anadolu
124,türkland'dan kazasker mi̇ni̇büse ve işik okullarina yakin ki̇ralik,Kadıköy,19 Mayıs Mh.,12000.0,125.0,100.0,3+1,4,3,10,Merkezi (Pay Ölçer),2,Var,Hayır,Mülk Sahibi,Hayır,,Emlak Ofisinden,Anadolu
125,"kadiköy rihtim'da stüdyo dai̇re komi̇syon depozi̇to yok ""8500 tl""",Kadıköy,Rasimpaşa Mh.,8500.0,45.0,40.0,Stüdyo (1+0),21-25 arası,4,5,Klima,1,Yok,Evet,Boş,Hayır,,Sahibinden,Anadolu
126,pendik çamçéşme e5e yakın eşyalı kiralık açiklamayi oku,Pendik,Çamçeşme Mh.,4000.0,80.0,65.0,2+1,4,Yüksek Giriş,6,Doğalgaz (Kombi),1,Var,Evet,Mülk Sahibi,Hayır,,Emlak Ofisinden,Anadolu
127,yeşi̇l gayri̇menkul'den kartal'da yeni̇lenmi̇ş 2+1 ki̇ralik dai̇re,Kartal,Orhantepe Mah.,6500.0,115.0,95.0,2+1,21-25 arası,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,50.0,Emlak Ofisinden,Anadolu
128,tuzla dumankaya adres 2+1 eşyali otoruma hazir ki̇ralik dai̇re,Tuzla,Aydınlı Mh.,4750.0,85.0,65.0,2+1,5-10 arası,1,13,Doğalgaz (Kombi),1,Var,Evet,Boş,Evet,410.0,Emlak Ofisinden,Anadolu
129,beledi̇ye karşisinda 1+1 yüksek gi̇ri̇ş eşyali ki̇ralik dai̇re,Ümraniye,Yamanevler Mh.,6200.0,65.0,55.0,1+1,5-10 arası,Yüksek Giriş,3,Doğalgaz (Kombi),1,Yok,Evet,Boş,Hayır,,Emlak Ofisinden,Anadolu
130,"finans merkezinin dibinde, teraslı otoparklı asansörlü daire",Ümraniye,Site Mah.,4750.0,90.0,75.0,2+1,11-15 arası,Yüksek Giriş,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,50.0,Sahibinden,Anadolu
131,"maltepe merkez 3+1/120 m2 ful eşyali,ai̇leye(1-3-6 aylik ki̇ralik)",Maltepe,Bağlarbaşı Mh.,8500.0,120.0,100.0,3+1,16-20 arası,9,10,Doğalgaz (Kombi),1,Var,Evet,Mülk Sahibi,Hayır,100.0,Sahibinden,Anadolu
132,"yapi34_modoko civarı_büyük 2+1, 90m2_i̇skanlı",Ümraniye,Yukarı Dudullu Mh.,6000.0,100.0,90.0,2+1,4,1,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,50.0,Emlak Ofisinden,Anadolu
133,ülker arena yakini ki̇ralik 2+1 ara kat terasli dai̇re,Ataşehir,Barbaros Mah.,6000.0,120.0,80.0,2+1,11-15 arası,3,6,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,100.0,Emlak Ofisinden,Anadolu
134,güvenli̇kli̇ si̇tede net 125m2 sifirlanmiş 3+1,Kadıköy,19 Mayıs Mh.,14000.0,145.0,125.0,3+1,26-30 arası,2,7,Merkezi,2,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
135,sahibinden kiralık 3+1 daire,Kartal,Hürriyet Mh.,4250.0,110.0,100.0,3+1,26-30 arası,3,4,Doğalgaz (Kombi),1,Var,Hayır,Mülk Sahibi,Hayır,,Sahibinden,Anadolu
136,pendi̇k kurtköy vi̇aport houses sui̇tes vi̇lla kati 3+1 eşyali,Pendik,Harmandere Mah.,15000.0,189.0,140.0,3+1,5-10 arası,2,3,Merkezi (Pay Ölçer),2,Var,Evet,Boş,Evet,,Emlak Ofisinden,Anadolu
137,çekmeköy mehmet aki̇f mahallesi̇nde dubleks ki̇rali̇k dai̇re,Çekmeköy,Mehmet Akif Mh.,8000.0,220.0,200.0,3+2,5-10 arası,2,2,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
138,"brandium büyük ti̇p 1+1""kat bahçesi̇nde"" lüks eşyali hazi̇ran sonu",Ataşehir,Küçükbakkalköy Mh.,12000.0,74.0,62.0,1+1,4,13,30 ve üzeri,Merkezi (Pay Ölçer),1,Var,Evet,Kiracılı,Evet,800.0,Emlak Ofisinden,Anadolu
139,beykoz elmali ana cadde üzeri̇nde ki̇ralik balkonlu lux dai̇re,Beykoz,Elmalı Mh.,6500.0,150.0,140.0,4+1,26-30 arası,3,3,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Hayır,,Emlak Ofisinden,Anadolu
140,kuyubaşi'nda ki̇ralik sifir dai̇re,Kadıköy,Feneryolu Mah.,14000.0,110.0,88.0,3+1,0,5,8,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
141,kavakpinar mh. marmara hast. tek vasita 2+1 memura yüksek gi̇ri̇ş,Pendik,Kavakpınar Mh.,4000.0,80.0,72.0,2+1,1,Yüksek Giriş,6,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,100.0,Emlak Ofisinden,Anadolu
142,öğretmene öğrenciye temiz daire,Ataşehir,Esatpaşa Mh.,3000.0,70.0,60.0,1+1,16-20 arası,Zemin Kat,1,Doğalgaz Sobası,1,Var,Hayır,Kiracılı,Hayır,50.0,Sahibinden,Anadolu
143,dumankaya i̇kon 5 aylığına eşyalı kiralık 1+0 emsalsiz manzaralı,Ataşehir,Örnek Mh.,5100.0,31.0,22.0,Stüdyo (1+0),5-10 arası,30 ve üzeri,30 ve üzeri,Merkezi (Pay Ölçer),1,Yok,Evet,Boş,Evet,815.0,Emlak Ofisinden,Anadolu
144,themandarins kadıköy'de oturuma hazır güncel 1+1 deniz manzaralı,Kadıköy,Fikirtepe Mah.,11000.0,65.0,45.0,1+1,1,15,24,Merkezi (Pay Ölçer),1,Yok,Hayır,Boş,Evet,550.0,Emlak Ofisinden,Anadolu
145,adatepede ön cephe ferah eşyali ki̇ralik dai̇re marmaraya yakin,Maltepe,Feyzullah Mah.,10000.0,160.0,135.0,3+1,26-30 arası,3,3,Doğalgaz (Kombi),1,Var,Evet,Kiracılı,Hayır,,Emlak Ofisinden,Anadolu
146,buz residence ataşehi̇r de deni̇z manzarali 1+1,Ataşehir,Küçükbakkalköy Mh.,7250.0,84.0,64.0,1+1,5-10 arası,20,22,Merkezi (Pay Ölçer),1,Yok,Hayır,Boş,Evet,650.0,Emlak Ofisinden,Anadolu
147,dora'dan heleni̇um wi̇ngs si̇tesi̇nde 2+1 mobi̇lyali ferah dai̇re,Pendik,Yenişehir Mh.,7000.0,94.0,79.0,2+1,5-10 arası,2,9,Merkezi (Pay Ölçer),2,Yok,Evet,Boş,Evet,720.0,Emlak Ofisinden,Anadolu
148,bk gayri̇menkul çekmeköy cumhuri̇yet gi̇ri̇ş kat 2+1 75 m2,Çekmeköy,Cumhuriyet Mah.,3800.0,75.0,65.0,2+1,5-10 arası,Giriş Katı,5,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,70.0,Emlak Ofisinden,Anadolu
149,tuzla cami̇ mahallesi̇nde mari̇naya yakin 2+1 ki̇ralik dai̇re,Tuzla,Cami Mah.,5000.0,100.0,85.0,2+1,5-10 arası,Yüksek Giriş,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
150,beykoz yalıköy' de kiralık 2+1 daire,Beykoz,Yalıköy Mh.,5500.0,90.0,80.0,2+1,31 ve üzeri,2,6,Doğalgaz (Kombi),1,Yok,Hayır,Kiracılı,Hayır,,Emlak Ofisinden,Anadolu
151,atilim dan..ni̇şantaşinda 3+1 135 m2 lüx kombi̇li̇ balkonlu arakat,Üsküdar,Acıbadem Mh.,14500.0,135.0,110.0,3+1,26-30 arası,2,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,125.0,Emlak Ofisinden,Anadolu
152,satiş ofi̇si̇nden loca evleri̇ kurtköyde ki̇ralik eşyali 1+1 dai̇re,Pendik,Kurtköy Mh.,4499.0,55.0,40.0,1+1,5-10 arası,4,7,Merkezi (Pay Ölçer),1,Yok,Evet,Boş,Evet,595.0,Emlak Ofisinden,Anadolu
153,marmara araştirma hastanesi̇ne yakin sifir 2+1 ki̇ralik dai̇re,Pendik,Fevzi Çakmak Mh.,5200.0,80.0,66.0,2+1,0,1,10,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Hayır,150.0,Emlak Ofisinden,Anadolu
154,soyak yeni̇şehi̇r karşisi fi̇nans merkezi̇ bölgesi̇ ki̇ralik 3+1 dai̇re,Ümraniye,Site Mah.,8500.0,125.0,115.0,3+1,11-15 arası,10,10,Merkezi (Pay Ölçer),2,Yok,Hayır,Boş,Hayır,250.0,Emlak Ofisinden,Anadolu
155,kayişdaği merkezde 3+1 140m ki̇ralik dai̇re,Ataşehir,Kayışdağı Mh.,7000.0,140.0,130.0,3+1,16-20 arası,1,4,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,100.0,Emlak Ofisinden,Anadolu
156,varyap meridian grand tower full beyaz esyali extrali 1+1 kb,Ataşehir,Barbaros Mah.,11500.0,89.0,75.0,1.5+1,5-10 arası,30 ve üzeri,30 ve üzeri,Merkezi (Pay Ölçer),1,Yok,Hayır,Boş,Evet,1.3,Emlak Ofisinden,Anadolu
157,tami̇ş'den idealtepe minibüs yolu üzerinde tabela değeri yüksek,Maltepe,İdealtepe Mh.,10500.0,87.0,72.0,2+1,4,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,120.0,Emlak Ofisinden,Anadolu
158,tülay emlaktan subayevlerde otoparkli ebeveynli̇ sifir 3 + 1,Maltepe,Zümrütevler Mh.,7000.0,140.0,130.0,3+1,0,3,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
159,karaca'dan 2+1 ki̇ralik tam cam gi̇ri̇ş dubleks,Sancaktepe,Osmangazi Mah.,3500.0,100.0,85.0,2+1,4,Yüksek Giriş,3,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
160,bogaz manzarali şahane dublexs sizi oturmaya davet ediyor,Beykoz,Göztepe Mh.,18000.0,216.0,200.0,4.5+1,26-30 arası,4,5,Kat Kaloriferi,2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
161,sinpaş palas etabı kiralık balkonlu 1+1,Ümraniye,Finanskent Mh.,8750.0,85.0,55.0,1+1,2,2,13,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
162,kartal minibus cd kiralık 3+1 daire,Kartal,Kordonboyu Mah.,15000.0,190.0,140.0,3+1,16-20 arası,3,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
163,göztepe merkez'de kiralık oda ( sadece çalışan kadın),Kadıköy,Merdivenköy Mh.,1800.0,90.0,70.0,3+1,26-30 arası,1,4,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Hayır,,Sahibinden,Anadolu
164,safranbolu evleri̇nde kiş bahçeli̇ parka sifir keyi̇fli̇ bahçe kati,Çekmeköy,Merkez Mah.,5750.0,100.0,90.0,2+1,2,Bahçe Katı,3,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
165,aklife gayri̇menkul _ si̇te i̇çi̇nde _güvenli̇kli̇ geni̇ş ki̇ralik dai̇re,Kartal,Yakacık Çarşı Mh.,9800.0,175.0,140.0,3+1,0,7,10,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,800.0,Emlak Ofisinden,Anadolu
166,yüzyil'dan i̇çi̇ lüx sifirlanmiş çi̇ft balkonlu 2+1 merkez'de dai̇re,Üsküdar,Aziz Mahmut Hüdayi Mh.,8000.0,95.0,85.0,2+1,26-30 arası,2,5,Merkezi,1,Var,Hayır,Boş,Hayır,40.0,Emlak Ofisinden,Anadolu
167,park çekmeköy si̇tesi̇ dubleks terasli ki̇ralik 3+1 dai̇re,Çekmeköy,Taşdelen Mh.,5750.0,125.0,105.0,3+1,5-10 arası,8,8,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,540.0,Emlak Ofisinden,Anadolu
168,si̇te mh 2+1 ki̇ralik 95m2 orta kat 4 güney cepe ankestreli̇ aslan,Ümraniye,Site Mah.,6200.0,110.0,95.0,2+1,11-15 arası,4,5,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
169,dk gayri̇menkul'den kumbabada si̇te i̇çeri̇si̇nde 1+1 ve 2+1 ki̇ralik,Şile,Kumbaba Mah.,5500.0,75.0,60.0,1+1,0,Giriş Katı,2,Yerden Isıtma,1,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
170,tuzla emlak konutlari 2+1 terasli kapali mutfak deni̇z manzarali,Tuzla,Aydınlı Mh.,5000.0,132.0,110.0,2+1,5-10 arası,9,12,Merkezi (Pay Ölçer),1,Var,Hayır,Kiracılı,Evet,350.0,Emlak Ofisinden,Anadolu
171,maltepe ki̇ptaş adatepe si̇te i̇çeri̇si̇nde çok geni̇ş ki̇ralik 3+1,Maltepe,Zümrütevler Mh.,13500.0,150.0,120.0,3+1,11-15 arası,13,15,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
172,pendi̇k kaynarca askeri̇ lojman karşisi 2+1 90m2 ki̇ralik dai̇re,Pendik,Kaynarca Mah.,4750.0,100.0,90.0,2+1,16-20 arası,4,6,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,100.0,Emlak Ofisinden,Anadolu
173,sinpaş aqua city 2.etap yanı yeni binada her katta tek daire 2+1,Ümraniye,Parseller Mah.,4500.0,70.0,55.0,2+1,5-10 arası,2,3,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
174,kadiköy suadi̇ye de ki̇ralik lüx deni̇z manzarali 3+1 dai̇re,Kadıköy,Suadiye Mah.,19000.0,156.0,120.0,4+1,3,11,11,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,500.0,Emlak Ofisinden,Anadolu
175,eşyalı kiralık daire,Tuzla,Şifa Mh.,4750.0,110.0,90.0,2+1,11-15 arası,4,4,Doğalgaz (Kombi),1,Var,Evet,Boş,Hayır,,Sahibinden,Anadolu
176,maltepe zümrütevler si̇te i̇çeri̇si̇nde 3+1 ki̇ralik dai̇re,Maltepe,Zümrütevler Mh.,5000.0,140.0,130.0,3+1,21-25 arası,5,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,250.0,Emlak Ofisinden,Anadolu
177,reha medi̇n'den acibadem ni̇şantaşi'nda sifir 2.kat..3+1 !!!,Üsküdar,Acıbadem Mh.,14000.0,100.0,87.0,3+1,0,2,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
178,ar dan altintepe de 2+1 kombi̇li̇ sifir dai̇re,Maltepe,Altıntepe Mh.,8000.0,85.0,70.0,2+1,0,2,4,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,60.0,Emlak Ofisinden,Anadolu
179,beykoz şahi̇nkayada ki̇ralik eşyali 1+1 müstaki̇l dai̇re,Beykoz,Merkez Mah.,2300.0,55.0,50.0,1+1,21-25 arası,Bahçe Katı,1,Klima,1,Yok,Evet,Boş,Hayır,,Emlak Ofisinden,Anadolu
180,ataşehir ağaoğlu andromeda kiralık 1+1 sıfır özel eşyalı güncel!,Ataşehir,Barbaros Mah.,18000.0,72.0,58.0,1+1,11-15 arası,14,26,Doğalgaz (Kombi),1,Yok,Evet,Boş,Evet,1.007,Emlak Ofisinden,Anadolu
181,"selective kartal evleri & eşyalı, 1+1 kiralık daire %",Kartal,Hürriyet Mh.,7000.0,71.0,50.0,1+1,5-10 arası,11,17,Doğalgaz (Kombi),1,Var,Evet,Boş,Evet,484.0,Emlak Ofisinden,Anadolu
182,stardan maltepe merkezde sifir 2+1 dai̇re,Maltepe,Bağlarbaşı Mh.,8000.0,100.0,85.0,2+1,0,2,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,100.0,Emlak Ofisinden,Anadolu
183,beka gm avrupa konutlari yamanevler 3+1 si̇te i̇çi̇ ki̇ralik dai̇re,Ümraniye,Yamanevler Mh.,15000.0,162.0,111.0,3+1,0,10,30 ve üzeri,Yerden Isıtma,2,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
184,maltepe altayçeşmede 3+1 130 metre asansörlü balkonlu arakat,Maltepe,Feyzullah Mah.,8900.0,130.0,120.0,3+1,16-20 arası,6,7,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Hayır,70.0,Emlak Ofisinden,Anadolu
185,royal'den full akti̇vi̇teli̇ garden li̇fe si̇tesnde 200m2 4+2 dubleks,Ümraniye,Armağanevler Mh.,11000.0,200.0,180.0,4+2,11-15 arası,10,10,Doğalgaz (Kombi),2,Var,Hayır,Mülk Sahibi,Evet,600.0,Emlak Ofisinden,Anadolu
186,oryaştan i̇çerenköyde 7 yillik bi̇nada 85m2 2+1 yüksek gi̇ri̇ş dai̇re,Ataşehir,İçerenköy Mh.,8750.0,85.0,70.0,2+1,5-10 arası,Yüksek Giriş,7,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
187,palandöken si̇tesi̇'nde 130 m2 net 3+1 bakimli ki̇ralik dai̇re,Ataşehir,Yenişehir Mh.,11500.0,160.0,130.0,3+1,16-20 arası,4,8,Doğalgaz (Kombi),2,Var,Hayır,Kiracılı,Evet,700.0,Emlak Ofisinden,Anadolu
188,kavacık otağtepe'de 3+1 ara kat kiralık daire,Beykoz,Kavacık Mh.,6500.0,130.0,125.0,3+1,11-15 arası,4,4,Doğalgaz (Kombi),1,Var,Hayır,Kiracılı,Hayır,,Emlak Ofisinden,Anadolu
189,sahi̇bi̇nden ki̇ralik,Sancaktepe,Yunus Emre Mah.,4000.0,90.0,80.0,2+1,0,1,4,Yerden Isıtma,1,Yok,,Boş,Hayır,,Sahibinden,Anadolu
190,beka gm avrupa konutlari yamanevler yüksek kat köşe dai̇re,Ümraniye,Yamanevler Mh.,13500.0,136.0,95.0,2+1,0,18,29,Yerden Isıtma,2,Var,Hayır,Boş,Evet,,Emlak Ofisinden,Anadolu
191,çekmeköy alemdağ çatalmeşede yeni̇ bi̇na 4+1 120 m2 ters dublex,Çekmeköy,Çatalmeşe Mh.,4250.0,150.0,125.0,4+1,1,Giriş Katı,4,Doğalgaz (Kombi),2,Yok,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
192,kartal akasya sitesi 3+1 200m2 muhteşem kiralık ofis daire,Kartal,Kordonboyu Mah.,7250.0,200.0,170.0,3+1,21-25 arası,Giriş Katı,6,Doğalgaz (Kombi),1,Var,Hayır,Boş,Evet,300.0,Emlak Ofisinden,Anadolu
193,yeni̇ di̇zayn 3 yasinda genç bi̇na oturuma hazir,Kadıköy,Suadiye Mah.,18500.0,120.0,110.0,3+1,3,3,13,Merkezi (Pay Ölçer),2,Var,Hayır,Boş,Hayır,450.0,Sahibinden,Anadolu
