,aciklama,ilce,mahalle,fiyat,m2_brut,m2_net,oda_sayisi,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo_sayisi,balkon,esyali,kullanim_durumu,site_icerisinde,aidat,kimden,yaka
65,"sahibinden bulgurlu'da k.garajlı ,2+1 geniş odalı arakat",Üsküdar,Bulgurlu Mah.,6850.0,110.0,85.0,2+1,16-20 arası,4,5,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,80.0,Sahibinden,Anadolu
66,sahi̇bi̇nden suadi̇ye'de cadde'ye/marmaray'a 2 daki̇ka,Kadıköy,Suadiye Mah.,16000.0,125.0,105.0,3+1,31 ve üzeri,4,6,Merkezi,2,Var,Hayır,Boş,Hayır,770.0,Sahibinden,Anadolu
67,ev arkadaşı arıyorum,Maltepe,Fındıklı Mh.,4000.0,90.0,85.0,2+1,4,Giriş Katı,1,Doğalgaz (Kombi),1,Yok,Evet,Mülk Sahibi,Hayır,,Sahibinden,Anadolu
68,ritim i̇stanbul eşyalı 1+1 kiralık daire,Maltepe,Cevizli Mah.,7250.0,67.0,45.0,1+1,5-10 arası,5,11,Merkezi (Pay Ölçer),1,Yok,Evet,Kiracılı,Evet,980.0,Emlak Ofisinden,Anadolu
69,ulaşima yakin merkezi̇ lokasyonda 3+1 ki̇ralik dai̇re..,Maltepe,Fındıklı Mh.,5000.0,110.0,100.0,3+1,5-10 arası,Giriş Altı Kot 1,6,Doğalgaz (Kombi),2,Yok,Hayır,Kiracılı,Hayır,,Emlak Ofisinden,Anadolu
70,reoffice den evora e parsel de balkonlu kullanişli eşyali 1+1,Tuzla,Aydıntepe Mh.,6000.0,72.0,54.0,1+1,5-10 arası,4,12,Merkezi (Pay Ölçer),1,Var,Evet,Boş,Evet,450.0,Emlak Ofisinden,Anadolu
71,suryapi i̇lkbahar2 projesi̇n ki̇ralik 2+1 dai̇re arakat hali̇l güler,Sultanbeyli,Battalgazi Mah.,5000.0,98.0,71.0,2+1,4,2,8,Merkezi (Pay Ölçer),1,Yok,Hayır,Boş,Evet,605.0,Emlak Ofisinden,Anadolu
72,çekmeköy aydinlar mahallesi̇ açik otoparkli dai̇re burda..,Çekmeköy,Aydınlar Mh.,4250.0,80.0,70.0,2+1,4,3,7,Doğalgaz (Kombi),2,Var,Hayır,Boş,Hayır,50.0,Emlak Ofisinden,Anadolu
73,"bağdat caddesi'ne yürüme mesafesinde, 90m2 2+1 daire",Kadıköy,Bostancı Mh.,14500.0,90.0,75.0,2+1,11-15 arası,3,9,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
74,soyak yenişehir palmiye evlerinde kiralık 1+1,Ümraniye,Site Mah.,5500.0,56.0,45.0,1+1,16-20 arası,12,15,Doğalgaz (Kombi),1,Yok,Hayır,Boş,Evet,750.0,Emlak Ofisinden,Anadolu
75,sahibinden kiptas aydos yesilce evlerinde kiralik 2+1,Pendik,Velibaba Mah.,5000.0,98.0,65.0,2+1,1,5,8,Merkezi (Pay Ölçer),1,Var,Hayır,Boş,Evet,570.0,Sahibinden,Anadolu
76,yamanevler mahallesin'de 2+1 kiralık daire,Ümraniye,Yamanevler Mh.,5300.0,95.0,80.0,2+1,5-10 arası,1,4,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
77,turyap meydan - s.beyli̇ mi̇mar si̇nan mah. okul yani 2+1 ki̇ralik,Sultanbeyli,Mimar Sinan Mah.,4100.0,85.0,70.0,2+1,0,6,7,Doğalgaz (Kombi),1,Var,Hayır,Boş,Hayır,,Emlak Ofisinden,Anadolu
